data;^SP500TR;AEE;AEP;CNP;D;ED;EIX;ES;ETR;EXC;FE;HE;IDA;NEE;NWE;OGE;PCG;PEG;PNW;PPL
2021-11-22;0,97817131;0,98981029;0,99004554;0,99425903;0,99299085;1,01822009;1,00061624;1,01025520;0,97300621;0,99664257;0,98390859;0,98002531;0,98480648;0,97486133;1,01423605;0,98433506;0,98869143;1,00903781;0,98730763;0,99225348
2021-11-29;0,98824976;1,00615310;0,99745629;1,02744937;0,99144847;1,02364322;1,02571610;1,00684612;1,00164897;0,98708565;1,02453217;1,01882059;0,99943927;1,02706346;1,00233933;1,03993075;0,96486934;0,99701429;1,01394426;1,01703319
2021-12-06;1,03845164;1,02599080;1,02003857;1,03413742;1,04930833;1,02582901;1,00675591;1,03024611;1,04018975;1,02218470;1,02008232;1,03473803;1,02151729;1,02555941;1,01400364;0,99972173;1,04572388;1,00551613;1,00166243;1,00244235
2021-12-13;0,98088607;0,99686566;1,03036077;0,96806585;1,00882055;1,01464695;0,99463157;1,01729658;1,01964451;0,99276551;1,01161058;0,99284136;1,00540332;1,00731065;0,97822214;1,02588347;0,97327932;1,01253661;1,02293314;1,04373907
2021-12-20;1,02296640;1,00705969;0,99976893;1,02001494;1,00926510;0,99940347;1,01454270;1,00713025;1,00520428;1,01812419;1,01122732;1,00223762;0,99426148;0,99736065;1,01560846;1,00949542;0,99833609;1,00764559;1,01637154;0,99526397
2021-12-27;1,00872705;1,02286793;1,02831744;1,01417133;1,01577490;1,01850311;1,00857114;1,01721851;1,02325395;1,06001106;1,02615348;1,02952128;1,03811276;1,02932765;1,03009544;1,03144301;1,01166675;1,03329230;1,02437941;1,02175377
2022-01-03;0,98169059;0,99134930;1,02056848;0,99104261;1,02100267;1,00410237;0,96222244;0,98549131;0,99538380;0,98060950;0,99567197;1,02987954;1,00282396;0,92555668;1,00297411;0,97785326;1,00576602;1,00404597;1,00297515;1,00632087
2022-01-10;0,99711141;0,99829998;1,00198259;0,99819255;0,98703398;0,97490353;0,98076930;0,97457046;0,99054681;0,99293768;1,00386380;0,98455780;0,97139839;0,96285184;1,01168660;1,02364414;1,06551998;0,97388054;1,02076268;0,99074377
2022-01-17;0,94330231;0,99579993;0,98889841;0,99022084;1,00176881;0,98970331;0,98792155;0,99690991;0,98514445;1,00942381;0,99422688;1,00095055;0,99084997;0,99278842;0,98982772;0,98184192;0,94004620;1,00291184;0,97813779;0,98965625
2022-01-24;1,00790885;0,99920212;1,00177842;1,01901995;1,00189122;1,02383189;0,98475695;1,00114804;1,01590189;1,00986444;1,01016168;0,99335218;0,99113076;0,87772398;1,02159912;1,01420537;1,03761238;1,00901598;1,00212162;1,00067424
2022-01-31;1,01574853;0,99121527;0,98934854;1,00107661;1,00906095;1,01725175;0,98613364;1,00607733;0,99766112;1,06427779;0,99065899;1,00358523;0,99077502;1,04841373;0,99045176;0,99762160;0,95193053;1,00923819;0,99280097;0,99090283
2022-02-07;0,98212183;0,98664804;0,98295401;0,98243096;0,98628092;0,97874341;0,98512093;0,95874176;0,95419298;0,96806077;1,01411964;0,98332940;0,99094654;0,98618608;0,99225328;0,97298000;0,93211927;0,98964577;0,99228419;0,97449852
2022-02-14;0,98479365;0,98775070;0,98639657;0,97116790;1,00088535;1,00415377;0,99485472;0,98454613;0,99769982;0,98813188;0,98604427;0,98401551;0,97275031;0,98919424;1,02984047;0,97331897;1,01332168;0,98074312;0,99956496;0,91067691
2022-02-21;1,00843737;1,01606246;1,04375190;1,03548279;1,00682224;1,02547751;1,04020690;0,98780465;1,00917611;1,02330032;1,00927292;1,01378261;1,01614640;1,04059334;1,01549846;1,04000006;0,99561776;1,00293743;1,04454451;1,01264386
2022-02-28;0,98763994;1,04056713;1,07679421;1,05880225;1,03777142;1,04584588;1,05196456;1,05048281;1,06308031;1,04808350;1,03675054;1,02973430;1,06011300;1,03952826;1,02521587;1,07073659;0,98591556;1,04208421;1,03417144;1,00075664
2022-03-07;0,97155943;0,97732365;0,99179925;0,98137281;1,00303836;0,99399187;0,98780324;0,98301180;0,96890591;0,98532058;1,02541966;0,98977399;0,99349871;0,99413040;0,97443379;0,97186626;0,96249999;0,97218944;0,99073179;0,99319480
2022-03-14;1,06191336;1,01077251;0,98461376;1,02108964;0,98796484;0,99283640;0,99783914;0,99546612;1,00643665;0,99129041;0,98112340;0,99423378;1,00199939;1,03871385;0,95217528;0,99276332;1,07421141;1,02473197;0,98928957;1,02300899
